2024-05-17 07:01:57

Description 
===========





IV Curve
========

Abbreviation: BC = Bias Current (muA), BV = Bias Voltage (V), C = Counts, IT = Integration Time (ms)
Detector number is attached to abbreviation, e.g. BV3 is the bias voltage of the third detector.

BC	BV1	BV2	BV3	BV4	C1	C2	C3	C4	IT
20.6	0.007	0.004	0.005	0.006	0	0	0	0	200.0
20.7	0.007	0.007	0.007	0.006	0	0	0	0	200.0
20.8	0.003	0.005	0.003	0.002	0	0	0	0	200.0
20.9	0.008	0.008	0.006	0.007	0	0	0	0	200.0
21.0	0.007	0.007	0.005	0.006	0	0	0	0	200.0
21.1	0.006	0.006	0.004	0.008	0	0	0	0	200.0
21.2	0.008	0.005	0.003	0.006	0	0	0	0	200.0
21.3	0.005	0.007	0.005	0.006	0	0	0	0	200.0
21.4	0.007	0.006	0.004	0.006	1	0	0	1	200.0
21.5	0.01	0.006	0.004	0.009	0	0	0	0	200.0
21.6	0.008	0.005	0.003	0.007	0	0	0	0	200.0
21.7	0.008	0.004	0.006	0.007	0	0	0	0	200.0
21.8	0.004	0.006	0.005	0.008	0	0	0	0	200.0
21.9	0.007	0.006	0.007	0.006	0	0	0	0	200.0
22.0	0.005	0.006	0.005	0.006	0	0	0	0	200.0
22.1	0.007	0.007	0.005	0.009	0	0	0	0	200.0
22.2	0.004	0.004	0.005	0.006	0	0	0	0	200.0
22.3	0.007	0.007	0.005	0.003	0	0	0	0	200.0
22.4	0.005	0.005	0.003	0.007	0	0	0	0	200.0
22.5	0.007	0.005	0.005	0.008	0	0	0	0	200.0
22.6	0.006	0.006	0.007	0.005	0	0	0	0	200.0
22.7	0.006	0.006	0.007	0.01	0	0	0	0	200.0
22.8	0.005	0.005	0.008	0.004	0	0	0	0	200.0
22.9	0.008	0.005	0.005	0.006	0	0	0	0	200.0
23.0	0.007	0.006	0.007	0.008	0	0	0	0	200.0
23.1	0.009	0.008	0.006	0.008	0	0	0	0	200.0
23.2	0.008	0.005	0.005	0.007	0	0	0	0	200.0
23.3	0.006	0.01	0.005	0.007	0	0	0	0	200.0
